model_name,condition,acc,conf,abstain_rate,delta_acc,delta_conf,FG,n_questions,confidence
/data/home/yixh/models/Qwen2.5-7B-Instruct,closed,0.09826666666666667,0.4720184269340501,0.0028,0.0,0.0,0.0,1500,conf_ptrue
/data/home/yixh/models/Qwen2.5-7B-Instruct,irr,0.0208,0.045786290699712406,0.005466666666666667,-0.07746666666666667,-0.4262321362343377,-0.34876546956767096,1500,conf_ptrue
/data/home/yixh/models/Qwen2.5-7B-Instruct,mis,0.004533333333333333,0.9503861370579446,0.01813333333333333,-0.09373333333333334,0.47836771012389456,0.5721010434572279,1500,conf_ptrue
/data/home/yixh/models/Qwen2.5-7B-Instruct,same_entity_irr,0.13066666666666665,0.4045354616559981,0.0068000000000000005,0.0324,-0.067482965278052,-0.099882965278052,1500,conf_ptrue
/data/home/yixh/models/Qwen2.5-7B-Instruct,sup,0.6853333333333333,0.8629317651508509,0.0005333333333333334,0.5870666666666667,0.39091333821680085,-0.19615332844986583,1500,conf_ptrue
/data/home/yixh/models/Qwen2.5-7B-Instruct,closed,0.09826666666666667,0.7955293333333332,0.0028,0.0,0.0,0.0,1500,conf_verbalized
/data/home/yixh/models/Qwen2.5-7B-Instruct,irr,0.0208,0.08702666666666665,0.005466666666666667,-0.07746666666666667,-0.7085026666666666,-0.6310359999999999,1500,conf_verbalized
/data/home/yixh/models/Qwen2.5-7B-Instruct,mis,0.004533333333333333,0.9563133333333333,0.01813333333333333,-0.09373333333333334,0.160784,0.2545173333333333,1500,conf_verbalized
/data/home/yixh/models/Qwen2.5-7B-Instruct,same_entity_irr,0.13066666666666665,0.5874866666666667,0.0068000000000000005,0.0324,-0.20804266666666665,-0.24044266666666667,1500,conf_verbalized
/data/home/yixh/models/Qwen2.5-7B-Instruct,sup,0.6853333333333333,0.8764666666666667,0.0005333333333333334,0.5870666666666667,0.08093733333333335,-0.5061293333333333,1500,conf_verbalized
/data/home/yixh/models/Qwen2.5-7B-Instruct,closed,0.09826666666666667,0.6259318957229214,0.0028,0.0,0.0,0.0,1500,conf_seqlik
/data/home/yixh/models/Qwen2.5-7B-Instruct,irr,0.0208,0.8555721078997595,0.005466666666666667,-0.07746666666666667,0.229640212176838,0.3071068788435047,1500,conf_seqlik
/data/home/yixh/models/Qwen2.5-7B-Instruct,mis,0.004533333333333333,0.9834514510051494,0.01813333333333333,-0.09373333333333334,0.35751955528222795,0.4512528886155613,1500,conf_seqlik
/data/home/yixh/models/Qwen2.5-7B-Instruct,same_entity_irr,0.13066666666666665,0.8435369262831864,0.0068000000000000005,0.0324,0.21760503056026498,0.185205030560265,1500,conf_seqlik
/data/home/yixh/models/Qwen2.5-7B-Instruct,sup,0.6853333333333333,0.965427342741865,0.0005333333333333334,0.5870666666666667,0.33949544701894363,-0.247571219647723,1500,conf_seqlik
