sup_reader_supports_gold,n_questions,sup_acc,sup_conf,sup_mostly_wrong_rate
0,13,0.1846153846153846,0.3427153455169346,0.8461538461538461
1,131,0.8809160305343512,0.9496357972030686,0.12213740458015267
