estimator,conditions,coding,beta_topicality,beta_answer_support,beta_veracity,sigma2_P,sigma2_topicality,sigma2_answer_support,sigma2_veracity,sigma2_PE,sigma2_eps,rho_P,rho_topicality,rho_answer_support,rho_veracity,rho_PE,rho_eps,mixedlm_converged,confidence
REML MixedLM staged,"['irr', 'same_entity_irr', 'sup', 'mis']","{'topicality': {'irr': -0.75, 'same_entity_irr': 0.25, 'sup': 0.25, 'mis': 0.25}, 'answer_support': {'irr': 0.0, 'same_entity_irr': -0.6666666666666666, 'sup': 0.3333333333333333, 'mis': 0.3333333333333333}, 'veracity': {'irr': 0.0, 'same_entity_irr': 0.0, 'sup': 0.5, 'mis': -0.5}}",-0.10921139349226316,4.030174372660172,0.44987919626794426,1.7505812569181736,0.0022363365878478644,2.7070509123411344,0.02529891140433644,38.6676152023855,5.6680879473184085,0.035857231478847514,4.580697889810956e-05,0.05544864073303544,0.0005181986947496201,0.7920304319308435,0.11609969018362559,True,conf_ptrue
REML MixedLM staged,"['irr', 'same_entity_irr', 'sup', 'mis']","{'topicality': {'irr': -0.75, 'same_entity_irr': 0.25, 'sup': 0.25, 'mis': 0.25}, 'answer_support': {'irr': 0.0, 'same_entity_irr': -0.6666666666666666, 'sup': 0.3333333333333333, 'mis': 0.3333333333333333}, 'veracity': {'irr': 0.0, 'same_entity_irr': 0.0, 'sup': 0.5, 'mis': -0.5}}",9.324539063908192,5.444196942286457,-0.5733028589756763,0.22725118163785893,16.302567891440606,4.939880057733533,0.04108452101371053,16.954737614602763,6.0316524995348075,0.005107092482617123,0.36637310893463404,0.11101559132081641,0.0009233063032227194,0.381029539174278,0.1355513617844316,True,conf_verbalized
REML MixedLM staged,"['irr', 'same_entity_irr', 'sup', 'mis']","{'topicality': {'irr': -0.75, 'same_entity_irr': 0.25, 'sup': 0.25, 'mis': 0.25}, 'answer_support': {'irr': 0.0, 'same_entity_irr': -0.6666666666666666, 'sup': 0.3333333333333333, 'mis': 0.3333333333333333}, 'veracity': {'irr': 0.0, 'same_entity_irr': 0.0, 'sup': 0.5, 'mis': -0.5}}",3.902119295560534,4.350392690699428,-0.8123896957294474,0.6448077437514105,2.854975311897344,3.154319427215168,0.08249712721592302,5.606226120758613,0.08456048913295067,0.051886030766081226,0.229732564946703,0.2538200206690305,0.0066383329330624765,0.4511186842933341,0.006804366391788635,True,conf_seqlik
