confidence,metric,point_moment,ci_low,ci_high,bootstrap_n,estimator,point_reml
conf_ptrue,rho_topicality,0.41169460264474045,0.398375458529824,0.42729760606624556,400,question_bootstrap_moment,0.4116287141557792
conf_ptrue,rho_answer_support,0.18771763269600755,0.17249371870542962,0.20293898563139576,400,question_bootstrap_moment,0.1876875899626373
conf_ptrue,rho_veracity,0.003981554935435485,0.0023515429709865593,0.005829280868801432,400,question_bootstrap_moment,0.0039809177188256
conf_ptrue,rho_P,0.10905447158981635,0.1005227575060401,0.11639208163939106,400,question_bootstrap_moment,0.0219049791303047
conf_ptrue,rho_PE,0.2615402680075766,0.2488770810754753,0.2735547192482691,400,question_bootstrap_moment,0.3422901483653326
conf_ptrue,rho_eps,0.026011470126423436,0.02310203323822371,0.028957280023726804,400,question_bootstrap_moment,0.0325076506671205
conf_verbalized,rho_topicality,0.46034636926353767,0.4424059031264009,0.4775643101153972,400,question_bootstrap_moment,0.4602809008797396
conf_verbalized,rho_answer_support,0.13882804236055343,0.12688617912442451,0.14961912188333584,400,question_bootstrap_moment,0.138808298862675
conf_verbalized,rho_veracity,0.0016845734884881156,0.0007309667373535145,0.0028890811606550318,400,question_bootstrap_moment,0.0016843339160461
conf_verbalized,rho_P,0.10214704147755174,0.09430134658789184,0.11097138862360449,400,question_bootstrap_moment,0.0154969584339101
conf_verbalized,rho_PE,0.2598552129305844,0.24724674840133598,0.273106470725964,400,question_bootstrap_moment,0.3373145971205601
conf_verbalized,rho_eps,0.03713876047928464,0.03312322257503356,0.04149283151696275,400,question_bootstrap_moment,0.0464149107870687
conf_seqlik,rho_topicality,0.18650142646640758,0.17564247814686793,0.19647730405408848,400,question_bootstrap_moment,0.1864565016980876
conf_seqlik,rho_answer_support,0.29447156871478974,0.275429127669447,0.31487954625567977,400,question_bootstrap_moment,0.2944006359221915
conf_seqlik,rho_veracity,0.011064704679560246,0.0077131560157941694,0.014634036788828911,400,question_bootstrap_moment,0.0110620393954084
conf_seqlik,rho_P,0.146615844378006,0.1356901269298257,0.1579661396514493,400,question_bootstrap_moment,0.0284730414103732
conf_seqlik,rho_PE,0.3544712768570072,0.3385616697133096,0.3713490959886019,400,question_bootstrap_moment,0.4710163878051246
conf_seqlik,rho_eps,0.006875178904229288,0.0065361932811706155,0.007273286831415188,400,question_bootstrap_moment,0.0085913937688145
