confidence,outcome,comparison,n,r2,intercept_coef,intercept_p,answer_bearing_coef,answer_bearing_p,ctx_len_tokens_coef,ctx_len_tokens_p,ctx_entity_count_coef,ctx_entity_count_p,is_mis_coef,is_mis_p
conf_ptrue,confidence,answer_bearing_vs_same_entity_irr_control_len_entities,4500,0.32973197594686954,0.4072581734865976,1.2655291361260295e-130,0.48114952967415864,2.325867216316475e-196,0.0008807037093731388,7.317305830715893e-05,-0.005547565404157631,1.2262198474586883e-07,,
conf_ptrue,confidence,answer_bearing_plus_mis_indicator_control_len_entities,4500,0.33332142516433994,0.4023098969138614,4.608640792747866e-127,0.4553961821013066,7.791323516634356e-156,0.00032912822958705427,0.17913153961064565,-0.0016903245034783831,0.21259068762677535,0.07518755735340688,1.4251987181834449e-08
conf_ptrue,accuracy,answer_bearing_vs_same_entity_irr_control_len_entities,4500,0.17813658124232268,0.09311529497121937,5.000797094122153e-06,0.3212899337108713,1.9349380591334828e-66,-0.004871172900790192,6.45778353574888e-52,0.03333887548535663,1.868795095383397e-51,,
conf_ptrue,accuracy,answer_bearing_plus_mis_indicator_control_len_entities,4500,0.4494401957780785,0.13888108534838478,5.296785484168228e-18,0.5594783795670715,2.1568039160047797e-209,0.0002302573474898141,0.378908877500752,-0.0023361066825599375,0.1318599417220577,-0.6953972637175834,0.0
conf_verbalized,confidence,answer_bearing_vs_same_entity_irr_control_len_entities,4500,0.2733865733423184,0.5772775889291908,0.0,0.2970757127674468,1.2156138949133292e-120,0.001107790339047866,1.1993546708970233e-09,-0.005368452650505511,4.793617632999576e-10,,
conf_verbalized,confidence,answer_bearing_plus_mis_indicator_control_len_entities,4500,0.27791300291334453,0.5732384647506562,0.0,0.2760540565745036,9.20255267907981e-92,0.0006575564396404182,0.0013897986825611066,-0.002219906938610869,0.06237517454198381,0.0613732632699224,4.340032146046931e-09
conf_verbalized,accuracy,answer_bearing_vs_same_entity_irr_control_len_entities,4500,0.17813658124232268,0.09311529497121937,5.000797094122153e-06,0.3212899337108713,1.9349380591334828e-66,-0.004871172900790192,6.45778353574888e-52,0.03333887548535663,1.868795095383397e-51,,
conf_verbalized,accuracy,answer_bearing_plus_mis_indicator_control_len_entities,4500,0.4494401957780785,0.13888108534838478,5.296785484168228e-18,0.5594783795670715,2.1568039160047797e-209,0.0002302573474898141,0.378908877500752,-0.0023361066825599375,0.1318599417220577,-0.6953972637175834,0.0
conf_seqlik,confidence,answer_bearing_vs_same_entity_irr_control_len_entities,4500,0.272370867544822,0.8409997523990597,0.0,0.12796469508107755,1.260392847619649e-166,7.682228995471236e-05,0.1149944094852436,-0.00015634237303758093,0.6133091435370099,,
conf_seqlik,confidence,answer_bearing_plus_mis_indicator_control_len_entities,4500,0.27726043920609345,0.8393529576420489,0.0,0.11939393774061205,5.924217650638491e-136,-0.00010674295642051912,0.07567479554889456,0.0011273538792620544,0.010881155201095076,0.02502254540989008,7.662658960592259e-13
conf_seqlik,accuracy,answer_bearing_vs_same_entity_irr_control_len_entities,4500,0.17813658124232268,0.09311529497121937,5.000797094122153e-06,0.3212899337108713,1.9349380591334828e-66,-0.004871172900790192,6.45778353574888e-52,0.03333887548535663,1.868795095383397e-51,,
conf_seqlik,accuracy,answer_bearing_plus_mis_indicator_control_len_entities,4500,0.4494401957780785,0.13888108534838478,5.296785484168228e-18,0.5594783795670715,2.1568039160047797e-209,0.0002302573474898141,0.378908877500752,-0.0023361066825599375,0.1318599417220577,-0.6953972637175834,0.0
