model_name,condition,acc,conf,abstain_rate,delta_acc,delta_conf,FG,n_questions,confidence
/data/home/yixh/models/Phi-3-mini-4k-instruct,closed,0.09133333333333332,0.39521922927957165,0.0006666666666666668,0.0,0.0,0.0,300,conf_ptrue
/data/home/yixh/models/Phi-3-mini-4k-instruct,irr,0.035333333333333335,0.0757619087024124,0.034666666666666665,-0.056,-0.31945732057715925,-0.26345732057715926,300,conf_ptrue
/data/home/yixh/models/Phi-3-mini-4k-instruct,mis,0.002,0.9489348888751423,0.009333333333333332,-0.08933333333333333,0.5537156595955708,0.6430489929289042,300,conf_ptrue
/data/home/yixh/models/Phi-3-mini-4k-instruct,same_entity_irr,0.12133333333333333,0.5028987602960726,0.0013333333333333335,0.03,0.107679531016501,0.077679531016501,300,conf_ptrue
/data/home/yixh/models/Phi-3-mini-4k-instruct,sup,0.6506666666666666,0.8039151871461472,0.0,0.5593333333333333,0.40869595786657553,-0.15063737546675782,300,conf_ptrue
/data/home/yixh/models/Phi-3-mini-4k-instruct,closed,0.09133333333333332,0.9459366666666666,0.0006666666666666668,0.0,0.0,0.0,300,conf_verbalized
/data/home/yixh/models/Phi-3-mini-4k-instruct,irr,0.035333333333333335,0.5522805555555556,0.034666666666666665,-0.056,-0.3936561111111111,-0.33765611111111116,300,conf_verbalized
/data/home/yixh/models/Phi-3-mini-4k-instruct,mis,0.002,0.9951333333333334,0.009333333333333332,-0.08933333333333333,0.049196666666666666,0.13853,300,conf_verbalized
/data/home/yixh/models/Phi-3-mini-4k-instruct,same_entity_irr,0.12133333333333333,0.86896,0.0013333333333333335,0.03,-0.07697666666666665,-0.10697666666666665,300,conf_verbalized
/data/home/yixh/models/Phi-3-mini-4k-instruct,sup,0.6506666666666666,0.984085,0.0,0.5593333333333333,0.03814833333333333,-0.521185,300,conf_verbalized
