source_confidence,method,ece,nll,brier,mean_conf,acc,n_samples,n_questions,FG_mis,delta_acc_mis,delta_conf_mis,rho_topicality,rho_answer_support,rho_veracity,rho_P,rho_PE,rho_eps,beta_topicality,beta_answer_support,beta_veracity
conf_ptrue,identity,0.3948546065669062,4.2843161271871315,0.38760173474860804,0.5437011598597574,0.18773333333333334,18750,750,0.5650683257268342,-0.09733333333333333,0.46773499239350086,0.4092154837458534,0.19845563369756397,0.0038196408813588947,0.10242028475764751,0.26110125914541826,0.024987697772157886,12.602156935181597,9.308438458784265,-1.4911651683185267
conf_ptrue,temperature_scaling,0.322220469363103,0.669460927344175,0.23827962876508677,0.5099538026964364,0.18773333333333334,18750,750,0.207146741102385,-0.09733333333333333,0.10981340776905169,0.42388796423891373,0.20537818913342978,0.003234025173933758,0.09763837834623451,0.24746703270615658,0.02239441040133157,0.6382673963815347,0.47122740455957607,-0.06828014669116293
conf_ptrue,platt_logistic,0.017620497189765265,0.40933904321305936,0.1310331746501056,0.18548146711811153,0.18773333333333334,18750,750,0.27563871310020815,-0.09733333333333333,0.17830537976687486,0.4238879642389151,0.20537818913342934,0.003234025173933751,0.0976383783462343,0.24746703270615591,0.02239441040133153,1.8803587461005304,1.388252911850416,-0.2011557722415875
conf_ptrue,isotonic_relabel,0.001886590322782834,0.40493436459763527,0.12965090606780635,0.18594745657167663,0.18773333333333334,18750,750,0.2996932620892553,-0.09733333333333333,0.202359928755922,0.4024791014330926,0.22805929459037894,0.0021857852347931823,0.09737580122774356,0.2530892677794832,0.016810749734508496,1.8138660100056032,1.4482171456325035,-0.16371290269190267
conf_verbalized,identity,0.4834597150933333,3.208015806338518,0.44306578634721816,0.6572202376533334,0.18773333333333334,18750,750,0.25904469173333344,-0.09733333333333333,0.16171135840000006,0.47006933941535856,0.14512019701105364,0.001359761087070519,0.09983956691437246,0.2474984122868653,0.03611272328527955,11.886905651801408,7.0053210579835214,-0.7830054537682225
conf_verbalized,temperature_scaling,0.32371934567730354,0.6711930170450484,0.2392993310522305,0.511452679010637,0.18773333333333334,18750,750,0.1773269408426903,-0.09733333333333333,0.07999360750935695,0.4563183241306406,0.14838432891936887,0.0008724061605933042,0.10325364597968335,0.255735178528713,0.03543611628100084,0.7010976486377561,0.42404782091811105,-0.03754477858951317
conf_verbalized,platt_logistic,0.004278160262339132,0.4085201720956896,0.130397633650299,0.18450878390453054,0.18773333333333334,18750,750,0.2685165767993237,-0.09733333333333333,0.1711832434659904,0.4563183241306394,0.14838432891936948,0.0008724061605933069,0.10325364597968355,0.2557351785287134,0.03543611628100091,2.1790705290938015,1.317976335086147,-0.11669233337855826
conf_verbalized,isotonic_relabel,0.007298864738218577,0.4069453016356108,0.13015128774344567,0.18397060845214383,0.18773333333333334,18750,750,0.263347037691738,-0.09733333333333333,0.16601370435840468,0.4245091844387041,0.1712840962531757,0.0006931136883643221,0.10707903160580819,0.2645334814785516,0.031901092535396136,2.068241563017974,1.3934535536650727,-0.10235418002137041
conf_seqlik,identity,0.6678571403976692,3.355117715107608,0.5942031362794804,0.8555904737310025,0.18773333333333334,18750,750,0.45816253247522604,-0.09733333333333333,0.36082919914189265,0.19159014010337208,0.3054532527097764,0.009627476670108092,0.13858383849768316,0.34808643505935516,0.006658856959705085,3.4351099797316667,4.600475338748066,-0.9430960711237673
conf_seqlik,temperature_scaling,0.33338492325038294,0.7104030558546456,0.2586094271544957,0.5211182565837164,0.18773333333333334,18750,750,0.13558665625010208,-0.09733333333333333,0.03825332291676874,0.18327308781954496,0.30425526116871815,0.012848079879471863,0.15006632706784584,0.34549508750041497,0.004062156564004176,0.07878893990964786,0.10767409204311719,-0.025549396856895872
conf_seqlik,platt_logistic,0.048887582714985514,0.42606004691780586,0.13616241138878876,0.19268526101348515,0.18773333333333334,18750,750,0.34320899698054247,-0.09733333333333333,0.24587566364720911,0.1832730878195449,0.3042552611687184,0.012848079879471877,0.15006632706784576,0.3454950875004148,0.004062156564004176,0.8149552236689553,1.113729463360951,-0.2642707777766261
conf_seqlik,isotonic_relabel,0.004613649521022779,0.41231355238422024,0.13201081490037683,0.189267100582107,0.18773333333333334,18750,750,0.364522625046727,-0.09733333333333333,0.2671892917133938,0.15231995069673412,0.2535724902730742,0.005366851596357621,0.12822804453070616,0.3987129192837423,0.06179974361938566,0.9837586754885682,1.346286556680284,-0.22615989965591501
