confidence,outcome,comparison,n,r2,intercept_coef,intercept_p,answer_bearing_coef,answer_bearing_p,ctx_len_tokens_coef,ctx_len_tokens_p,ctx_entity_count_coef,ctx_entity_count_p,is_mis_coef,is_mis_p
conf_ptrue,confidence,answer_bearing_vs_same_entity_irr_control_len_entities,4500,0.0675369968559244,0.6412713858574137,0.0,0.23468018889108064,6.805731920406142e-48,-0.0007016026604058905,0.004007372553099923,0.0028273542627592053,0.014343063426205685,,
conf_ptrue,confidence,answer_bearing_plus_mis_indicator_control_len_entities,4500,0.06755659433406647,0.6416159801850532,0.0,0.2364736330045673,6.091294388876084e-45,-0.0006631913511744621,0.015967105945480668,0.0025587388539058563,0.07004444968789263,-0.005236005989569871,0.7417939778371627
conf_ptrue,accuracy,answer_bearing_vs_same_entity_irr_control_len_entities,4500,0.13369347855778901,0.13249050903934134,2.0534362639885672e-10,0.24622011171352756,1.057486043064981e-36,-0.0043837298455979175,1.3578228598228007e-41,0.031212710478466396,9.136742728251455e-48,,
conf_ptrue,accuracy,answer_bearing_plus_mis_indicator_control_len_entities,4500,0.3801170505595499,0.1763755704838463,8.32441274410399e-26,0.47462028781941756,2.185815405584969e-136,0.0005080589349647895,0.05614078836006033,-0.0029962209431934404,0.05534116589245731,-0.6668201596669584,0.0
conf_verbalized,confidence,answer_bearing_vs_same_entity_irr_control_len_entities,4500,0.2068465945822503,0.7120943898132167,0.0,0.19684315874337133,5.119070356805802e-125,0.00028086796749069993,0.022581268789080202,4.104614098253355e-05,0.9469717877823076,,
conf_verbalized,confidence,answer_bearing_plus_mis_indicator_control_len_entities,4500,0.21038339201669265,0.7095154294665643,0.0,0.18342093765133596,3.010364826358262e-98,-6.604098720897823e-06,0.9630064432558143,0.002051376643752815,0.008618058877039142,0.0391865179978075,1.0308999214992713e-06
conf_verbalized,accuracy,answer_bearing_vs_same_entity_irr_control_len_entities,4500,0.13369347855778901,0.13249050903934134,2.0534362639885672e-10,0.24622011171352756,1.057486043064981e-36,-0.0043837298455979175,1.3578228598228007e-41,0.031212710478466396,9.136742728251455e-48,,
conf_verbalized,accuracy,answer_bearing_plus_mis_indicator_control_len_entities,4500,0.3801170505595499,0.1763755704838463,8.32441274410399e-26,0.47462028781941756,2.185815405584969e-136,0.0005080589349647895,0.05614078836006033,-0.0029962209431934404,0.05534116589245731,-0.6668201596669584,0.0
conf_seqlik,confidence,answer_bearing_vs_same_entity_irr_control_len_entities,4500,0.23484315913780673,0.8364333409228899,0.0,0.1236183919841993,2.4767352803758953e-127,0.00011108390199224859,0.0934520225687761,-0.000183706678290925,0.598767683338863,,
conf_seqlik,confidence,answer_bearing_plus_mis_indicator_control_len_entities,4500,0.23977445952010845,0.8346909088213114,0.0,0.11454988926929606,1.8607341912087922e-97,-8.314186697870885e-05,0.2754062869479592,0.001174540030448135,0.018425488461982994,0.026475725769529564,1.2057353054328123e-10
conf_seqlik,accuracy,answer_bearing_vs_same_entity_irr_control_len_entities,4500,0.13369347855778901,0.13249050903934134,2.0534362639885672e-10,0.24622011171352756,1.057486043064981e-36,-0.0043837298455979175,1.3578228598228007e-41,0.031212710478466396,9.136742728251455e-48,,
conf_seqlik,accuracy,answer_bearing_plus_mis_indicator_control_len_entities,4500,0.3801170505595499,0.1763755704838463,8.32441274410399e-26,0.47462028781941756,2.185815405584969e-136,0.0005080589349647895,0.05614078836006033,-0.0029962209431934404,0.05534116589245731,-0.6668201596669584,0.0
