confidence,metric,point_moment,ci_low,ci_high,bootstrap_n,estimator,point_reml
conf_ptrue,rho_topicality,4.582085062466043e-05,2.5196982018412737e-07,0.0007561234408136786,400,question_bootstrap_moment,4.580697889810956e-05
conf_ptrue,rho_answer_support,0.05546543224394986,0.04489627176675924,0.06619249618000397,400,question_bootstrap_moment,0.0554486407330354
conf_ptrue,rho_veracity,0.0005183556208508627,1.203517623731065e-05,0.002015640540210199,400,question_bootstrap_moment,0.0005181986947496
conf_ptrue,rho_P,0.23972648307977779,0.225367313846879,0.25507566149936517,400,question_bootstrap_moment,0.0358572314788475
conf_ptrue,rho_PE,0.6113330003757018,0.5948538630053549,0.6273703208793681,400,question_bootstrap_moment,0.7920304319308435
conf_ptrue,rho_eps,0.09291090782909502,0.0859864318451894,0.09984912981456531,400,question_bootstrap_moment,0.1160996901836255
conf_verbalized,rho_topicality,0.36643996286649777,0.34676526549520337,0.3846749956055731,400,question_bootstrap_moment,0.366373108934634
conf_verbalized,rho_answer_support,0.11103584889061409,0.10313017285220344,0.119538737673976,400,question_bootstrap_moment,0.1110155913208164
conf_verbalized,rho_veracity,0.0009234747835372069,0.0002579576545965225,0.002089088697566051,400,question_bootstrap_moment,0.0009233063032227
conf_verbalized,rho_P,0.1070838527430575,0.0979050467149181,0.11616464026507778,400,question_bootstrap_moment,0.0051070924826171
conf_verbalized,rho_PE,0.3060502877581482,0.28905014257910555,0.3234817936448049,400,question_bootstrap_moment,0.381029539174278
conf_verbalized,rho_eps,0.10846657295814512,0.10111672933006705,0.11583805437639531,400,question_bootstrap_moment,0.1355513617844316
conf_seqlik,rho_topicality,0.22977043533533764,0.21948477138467073,0.24001896076686063,400,question_bootstrap_moment,0.229732564946703
conf_seqlik,rho_answer_support,0.2538618617676883,0.23587346227705983,0.2727954260355495,400,question_bootstrap_moment,0.2538200206690305
conf_seqlik,rho_veracity,0.006639427232647816,0.004171700653398584,0.009910767566585951,400,question_bootstrap_moment,0.0066383329330624
conf_seqlik,rho_P,0.16502221232046438,0.15293558684852102,0.17828710559290772,400,question_bootstrap_moment,0.0518860307660812
conf_seqlik,rho_PE,0.33926151597032167,0.3252770474499047,0.35343163972186564,400,question_bootstrap_moment,0.4511186842933341
conf_seqlik,rho_eps,0.005444547373540172,0.005040861825742744,0.005873196979124609,400,question_bootstrap_moment,0.0068043663917886
