source_confidence,method,ece,nll,brier,mean_conf,acc,n_samples,n_questions,FG_mis,delta_acc_mis,delta_conf_mis,rho_topicality,rho_answer_support,rho_veracity,rho_P,rho_PE,rho_eps,beta_topicality,beta_answer_support,beta_veracity
conf_ptrue,identity,0.5492233572822786,6.261118410188955,0.5464270452959239,0.6906265581711394,0.20597333333333334,18750,750,0.5863677042033252,-0.13306666666666667,0.4533010375366585,9.264081818907137e-05,0.053364408755737405,0.0012610664718818254,0.24617448390822455,0.611207098584849,0.08790030146111812,-0.15616586461955423,3.9754567341051548,0.7056665608107437
conf_ptrue,temperature_scaling,0.31594841471958723,0.7104507639849158,0.2586077225864794,0.5219217480529205,0.20597333333333334,18750,750,0.18843953043797534,-0.13306666666666667,0.055372863771308685,0.0007614146672030902,0.061831856209105966,0.001429298067028918,0.24827935576111693,0.6080612361163366,0.07963683917920858,0.011711549509030401,0.11194021658347385,0.019652181758711838
conf_ptrue,platt_logistic,0.014786753858592475,0.4912181251960764,0.15802043618946446,0.1997542726148221,0.20597333333333334,18750,750,0.20399754014091687,-0.13306666666666667,0.07093087347425023,0.0007614146672030699,0.06183185620910559,0.0014292980670289194,0.24827935576111668,0.6080612361163364,0.07963683917920938,0.026013241504388315,0.24863728627831652,0.04365066721387548
conf_ptrue,isotonic_relabel,0.006753653719361206,0.4814002580391828,0.1547205468359047,0.19921967961397216,0.20597333333333334,18750,750,0.23626177236758522,-0.13306666666666667,0.10319510570091851,0.057807882274109004,0.08916751357997256,0.0007928175771283102,0.21327606974986887,0.5419416854729731,0.09701403134594797,0.3204629932158883,0.42214723050548336,0.045963873368600285
conf_verbalized,identity,0.52314030016,3.687890812811023,0.47617424394716656,0.7263405943466666,0.20597333333333334,18750,750,0.36514865360000015,-0.13306666666666667,0.23208198693333343,0.3470324901700033,0.11422763762307715,0.0004299206937508161,0.10661816156133198,0.3180889025082023,0.11360288744363428,9.037910058857097,5.499773519192165,-0.38960341172441165
conf_verbalized,temperature_scaling,0.30999274183531106,0.6921371974724987,0.24950297908419025,0.5159660751686445,0.20597333333333334,18750,750,0.1734745487592973,-0.13306666666666667,0.04040788209263061,0.336745714093274,0.12203676923456477,0.0003906469259853806,0.10872496386390762,0.32320460056658584,0.10889730531568242,0.24548368870978993,0.15674482600565243,-0.010240223537803654
conf_verbalized,platt_logistic,0.01983409390175431,0.43533774544645215,0.1415742378330205,0.1995082784539837,0.20597333333333334,18750,750,0.3167031140009035,-0.13306666666666667,0.18363644733423684,0.3367457140932757,0.12203676923455758,0.00039064692598538524,0.10872496386390818,0.3232046005665889,0.10889730531568419,1.629246826681968,1.0402972666360046,-0.06796317829167156
conf_verbalized,isotonic_relabel,0.010076930439521407,0.4320575565892488,0.14112752693595124,0.1996246262487342,0.20597333333333334,18750,750,0.30383970433795343,-0.13306666666666667,0.17077303767128676,0.39826971746859985,0.0629754319724616,0.00021090648910889172,0.09959172311965203,0.30762366288682674,0.13132855806335098,2.42639719387006,1.023375677377909,-0.06838547261134252
conf_seqlik,identity,0.6598217197421141,3.2348170220468444,0.5834104037735179,0.8657950530754475,0.20597333333333334,18750,750,0.38877206229765854,-0.13306666666666667,0.2557053956309918,0.2351483296830477,0.25087608007118983,0.005619925663396807,0.1623178787606983,0.3408503203157533,0.00518746550591408,3.9635194956423185,4.34226114453612,-0.7504486223699406
conf_seqlik,temperature_scaling,0.3155422142579879,0.7078597590614563,0.2573423249663288,0.5215155475913212,0.20597333333333334,18750,750,0.16572710483842526,-0.13306666666666667,0.032660438171758614,0.22676187235177034,0.26441002136229513,0.0051144132460933436,0.16719797595672622,0.3331160695697267,0.003399647513388234,0.08806364605543716,0.10086183430080967,-0.01619776832054022
conf_seqlik,platt_logistic,0.055142347669201404,0.43674174213717554,0.141254285709023,0.20330112070656559,0.20597333333333334,18750,750,0.36632506327397946,-0.13306666666666667,0.2332583966073128,0.2267618723517707,0.2644100213622953,0.0051144132460933306,0.1671979759567264,0.333116069569726,0.003399647513388225,0.9685874466419052,1.1093511445976338,-0.1781547296941665
conf_seqlik,isotonic_relabel,0.02273395100684338,0.4172340511682353,0.13599913868441238,0.20262323607491584,0.20597333333333334,18750,750,0.36821706917213015,-0.13306666666666667,0.2351504025054634,0.2528627951887772,0.1845133185993243,0.0026875454972231255,0.14001467996205977,0.37206639439871625,0.04785526635389936,1.3122698374553483,1.1889697372806933,-0.16569302301159478
