source_confidence,method,ece,nll,brier,mean_conf,acc,n_samples,n_questions,FG_mis,delta_acc_mis,delta_conf_mis,rho_topicality,rho_answer_support,rho_veracity,rho_P,rho_PE,rho_eps,beta_topicality,beta_answer_support,beta_veracity
conf_ptrue,identity,0.3885079399002395,4.20947483931293,0.3813536565217531,0.5437011598597574,0.19642666666666667,18750,750,0.5554683257268341,-0.08773333333333333,0.46773499239350086,0.4092154837458534,0.19845563369756397,0.0038196408813588947,0.10242028475764751,0.26110125914541826,0.024987697772157886,12.602156935181597,9.308438458784265,-1.4911651683185267
conf_ptrue,temperature_scaling,0.31430044624928877,0.6665390144575838,0.2368513321636653,0.5107271129159554,0.19642666666666667,18750,750,0.20608232763726073,-0.08773333333333333,0.11834899430392742,0.42388796423891395,0.2053781891334296,0.003234025173933768,0.09763837834623455,0.2474670327061566,0.022394410401331586,0.6899961401096811,0.5094182972580501,-0.07381394996849049
conf_ptrue,platt_logistic,0.01622321393839801,0.4188635708956286,0.13477857163034684,0.19425688490938878,0.19642666666666667,18750,750,0.27477487311071513,-0.08773333333333333,0.18704153977738183,0.4238879642389152,0.2053781891334295,0.0032340251739337547,0.09763837834623426,0.24746703270615583,0.02239441040133151,1.9080892703220598,1.4087261226552754,-0.20412230989085992
conf_ptrue,isotonic_relabel,0.0026927630028335684,0.4144126004231143,0.1334218047193732,0.1946023427067013,0.19642666666666667,18750,750,0.2988595595481601,-0.08773333333333333,0.2111262262148268,0.3996025687789226,0.23041496614697105,0.002347050017034423,0.09739570943900434,0.25411884856323763,0.016120857054829966,1.8197233739210068,1.465624921985059,-0.17080400106223687
conf_verbalized,identity,0.47508638175999995,3.1487216588844826,0.43649512725388484,0.6572202376533334,0.19642666666666667,18750,750,0.24944469173333342,-0.08773333333333333,0.16171135840000006,0.47006933941535856,0.14512019701105364,0.001359761087070519,0.09983956691437246,0.2474984122868653,0.03611272328527955,11.886905651801408,7.0053210579835214,-0.7830054537682225
conf_verbalized,temperature_scaling,0.31563992331580937,0.6686758049469668,0.23809435857751396,0.512066589982476,0.19642666666666667,18750,750,0.17184651533299544,-0.08773333333333333,0.08411318199966211,0.45631832413064,0.14838432891936926,0.0008724061605933141,0.10325364597968342,0.2557351785287132,0.03543611628100086,0.7394079732387895,0.4472192146566286,-0.039596351088198756
conf_verbalized,platt_logistic,0.00410177360495076,0.41866369849310997,0.13450343203318077,0.19334160850502938,0.19642666666666667,18750,750,0.2618258068192222,-0.08773333333333333,0.17409247348588883,0.4563183241306404,0.148384328919369,0.0008724061605933127,0.1032536459796834,0.25573517852871314,0.035436116281000865,2.1441549735546186,1.2968582137070404,-0.1148225556028156
conf_verbalized,isotonic_relabel,0.006582198211837685,0.41745292236856163,0.13430260500219054,0.19278856722120316,0.19642666666666667,18750,750,0.25520478338853125,-0.08773333333333333,0.1674714500551979,0.4313175130937903,0.16954951698406856,0.0008846494869940193,0.1055103746580728,0.2607303095508563,0.03200763622621803,2.0789607960676597,1.3825227710447021,-0.11531319304541505
conf_seqlik,identity,0.6591638070643357,3.317121134393624,0.5867514824335066,0.8555904737310025,0.19642666666666667,18750,750,0.44856253247522604,-0.08773333333333333,0.36082919914189265,0.19159014010337208,0.3054532527097764,0.009627476670108092,0.13858383849768316,0.34808643505935516,0.006658856959705085,3.4351099797316667,4.600475338748066,-0.9430960711237673
conf_seqlik,temperature_scaling,0.3246916064277261,0.7097071092992367,0.2582618723893335,0.5211182730943927,0.19642666666666667,18750,750,0.12598668609291944,-0.08773333333333333,0.0382533527595861,0.1832730878195447,0.3042552611687185,0.01284807987947191,0.1500663270678458,0.3454950875004149,0.004062156564004175,0.07878900182557538,0.10767417665830935,-0.025549416934772425
conf_seqlik,platt_logistic,0.04638548899655503,0.4407611751479388,0.14177399653570363,0.2014608214550548,0.19642666666666667,18750,750,0.3342261893725431,-0.08773333333333333,0.24649285603920978,0.183273087819545,0.3042552611687182,0.01284807987947187,0.15006632706784578,0.34549508750041497,0.0040621565640041775,0.7886059988035274,1.0777202358389353,-0.2557263449700618
conf_seqlik,isotonic_relabel,0.006660728567761385,0.4247939779710405,0.13682764956128463,0.1979271493033851,0.19642666666666667,18750,750,0.3570460727506414,-0.08773333333333333,0.26931273941730804,0.14924290443387522,0.2495873217217666,0.0051545465199272006,0.12891409367448362,0.40096656754627014,0.06613456610367728,0.9472729185603661,1.2993190231434133,-0.21561011768660612
