confidence,model_name,n,r2,intercept_coef,intercept_p,is_mis_coef,is_mis_p,ctx_len_tokens_coef,ctx_len_tokens_p,ctx_entity_count_coef,ctx_entity_count_p
conf_ptrue,/data/home/yixh/models/Qwen2.5-14B-Instruct,3000,0.003738552097107606,0.8678469760457573,8.118643827334181e-286,0.000715444690784689,0.9650341755608336,-0.000715708441698501,0.012243606179589878,0.0035943911318672534,0.018105423454783588
conf_verbalized,/data/home/yixh/models/Qwen2.5-14B-Instruct,3000,0.007859306570080715,0.9147187521020587,0.0,0.0376572238079019,5.045217950569648e-06,-0.00015371808147323447,0.298735874293222,0.0014621881127511423,0.08302406684109687
conf_seqlik,/data/home/yixh/models/Qwen2.5-14B-Instruct,3000,0.017369450032742706,0.9555799934918638,0.0,0.02528658832414679,1.3443248919083646e-09,-0.00010864980864789273,0.14239795701379976,0.0008951935561054333,0.08417507788387232
