closed_status,model_name,condition,acc,conf,delta_acc,delta_conf,FG,n_questions,confidence
closed_known,/data/home/yixh/models/Qwen2.5-14B-Instruct,closed,0.9427184466019417,0.6612832535461535,0.0,0.0,0.0,206,conf_ptrue
closed_known,/data/home/yixh/models/Qwen2.5-14B-Instruct,irr,0.27864077669902915,0.6011172160326548,-0.6640776699029127,-0.06016603751349877,0.6039116323894138,206,conf_ptrue
closed_known,/data/home/yixh/models/Qwen2.5-14B-Instruct,mis,0.05048543689320389,0.6433007730574017,-0.8922330097087379,-0.017982480488751798,0.874250529219986,206,conf_ptrue
closed_known,/data/home/yixh/models/Qwen2.5-14B-Instruct,same_entity_irr,0.6368932038834951,0.6992450712257011,-0.3058252427184466,0.03796181767954763,0.3437870603979942,206,conf_ptrue
closed_known,/data/home/yixh/models/Qwen2.5-14B-Instruct,sup,0.8067961165048543,0.8366928535254095,-0.13592233009708737,0.175409599979256,0.31133193007634336,206,conf_ptrue
closed_unknown,/data/home/yixh/models/Qwen2.5-14B-Instruct,closed,0.011591962905718702,0.3069556090499076,0.0,0.0,0.0,1294,conf_ptrue
closed_unknown,/data/home/yixh/models/Qwen2.5-14B-Instruct,irr,0.0026275115919629057,0.8325046359294346,-0.008964451313755797,0.525549026879527,0.5345134781932827,1294,conf_ptrue
closed_unknown,/data/home/yixh/models/Qwen2.5-14B-Instruct,mis,0.0007727975270479134,0.8594575803998349,-0.010819165378670788,0.5525019713499273,0.5633211367285981,1294,conf_ptrue
closed_unknown,/data/home/yixh/models/Qwen2.5-14B-Instruct,same_entity_irr,0.10324574961360124,0.6189238948894487,0.09165378670788253,0.31196828583954106,0.22031449913165851,1294,conf_ptrue
closed_unknown,/data/home/yixh/models/Qwen2.5-14B-Instruct,sup,0.6290571870170015,0.8582708326738495,0.6174652241112828,0.5513152236239418,-0.06615000048734103,1294,conf_ptrue
closed_known,/data/home/yixh/models/Qwen2.5-14B-Instruct,closed,0.9427184466019417,0.8700970873786408,0.0,0.0,0.0,206,conf_verbalized
closed_known,/data/home/yixh/models/Qwen2.5-14B-Instruct,irr,0.27864077669902915,0.4905825242718447,-0.6640776699029127,-0.3795145631067961,0.2845631067961165,206,conf_verbalized
closed_known,/data/home/yixh/models/Qwen2.5-14B-Instruct,mis,0.05048543689320389,0.8746116504854369,-0.8922330097087379,0.004514563106796125,0.896747572815534,206,conf_verbalized
closed_known,/data/home/yixh/models/Qwen2.5-14B-Instruct,same_entity_irr,0.6368932038834951,0.8084466019417476,-0.3058252427184466,-0.06165048543689321,0.24417475728155338,206,conf_verbalized
closed_known,/data/home/yixh/models/Qwen2.5-14B-Instruct,sup,0.8067961165048543,0.9438834951456311,-0.13592233009708737,0.0737864077669903,0.20970873786407768,206,conf_verbalized
closed_unknown,/data/home/yixh/models/Qwen2.5-14B-Instruct,closed,0.011591962905718702,0.6931097372488408,0.0,0.0,0.0,1294,conf_verbalized
closed_unknown,/data/home/yixh/models/Qwen2.5-14B-Instruct,irr,0.0026275115919629057,0.28944358578052554,-0.008964451313755797,-0.40366615146831525,-0.39470170015455946,1294,conf_verbalized
closed_unknown,/data/home/yixh/models/Qwen2.5-14B-Instruct,mis,0.0007727975270479134,0.9624961360123648,-0.010819165378670788,0.269386398763524,0.2802055641421948,1294,conf_verbalized
closed_unknown,/data/home/yixh/models/Qwen2.5-14B-Instruct,same_entity_irr,0.10324574961360124,0.7135239567233385,0.09165378670788253,0.020414219474497678,-0.07123956723338486,1294,conf_verbalized
closed_unknown,/data/home/yixh/models/Qwen2.5-14B-Instruct,sup,0.6290571870170015,0.9185239567233384,0.6174652241112828,0.22541421947449772,-0.39205100463678516,1294,conf_verbalized
closed_known,/data/home/yixh/models/Qwen2.5-14B-Instruct,closed,0.9427184466019417,0.9143374827349753,0.0,0.0,0.0,206,conf_seqlik
closed_known,/data/home/yixh/models/Qwen2.5-14B-Instruct,irr,0.27864077669902915,0.8596501226925272,-0.6640776699029127,-0.05468736004244804,0.6093903098604646,206,conf_seqlik
closed_known,/data/home/yixh/models/Qwen2.5-14B-Instruct,mis,0.05048543689320389,0.9774807651552617,-0.8922330097087379,0.06314328242028652,0.9553762921290244,206,conf_seqlik
closed_known,/data/home/yixh/models/Qwen2.5-14B-Instruct,same_entity_irr,0.6368932038834951,0.9216991692086977,-0.3058252427184466,0.00736168647372249,0.3131869291921691,206,conf_seqlik
closed_known,/data/home/yixh/models/Qwen2.5-14B-Instruct,sup,0.8067961165048543,0.97675143041836,-0.13592233009708737,0.06241394768338473,0.1983362777804721,206,conf_seqlik
closed_unknown,/data/home/yixh/models/Qwen2.5-14B-Instruct,closed,0.011591962905718702,0.6911454155347503,0.0,0.0,0.0,1294,conf_seqlik
closed_unknown,/data/home/yixh/models/Qwen2.5-14B-Instruct,irr,0.0026275115919629057,0.8267570371181185,-0.008964451313755797,0.13561162158336834,0.14457607289712412,1294,conf_seqlik
closed_unknown,/data/home/yixh/models/Qwen2.5-14B-Instruct,mis,0.0007727975270479134,0.9783260725353677,-0.010819165378670788,0.28718065700061746,0.29799982237928824,1294,conf_seqlik
closed_unknown,/data/home/yixh/models/Qwen2.5-14B-Instruct,same_entity_irr,0.10324574961360124,0.8275280599036952,0.09165378670788253,0.13638264436894476,0.04472885766106222,1294,conf_seqlik
closed_unknown,/data/home/yixh/models/Qwen2.5-14B-Instruct,sup,0.6290571870170015,0.9558624408156747,0.6174652241112828,0.26471702528092445,-0.3527481988303584,1294,conf_seqlik
