source_confidence,method,ece,nll,brier,mean_conf,acc,n_samples,n_questions,FG_mis,delta_acc_mis,delta_conf_mis,rho_topicality,rho_answer_support,rho_veracity,rho_P,rho_PE,rho_eps,beta_topicality,beta_answer_support,beta_veracity
conf_ptrue,identity,0.5355700239489453,6.097731598602205,0.5334111726999571,0.6906265581711394,0.22314666666666666,18750,750,0.5823677042033252,-0.12906666666666666,0.4533010375366585,9.264081818907137e-05,0.053364408755737405,0.0012610664718818254,0.24617448390822455,0.611207098584849,0.08790030146111812,-0.15616586461955423,3.9754567341051548,0.7056665608107437
conf_ptrue,temperature_scaling,0.2987744033496603,0.7074573984780723,0.2571185331664371,0.5219210700163269,0.22314666666666666,18750,750,0.184437818747965,-0.12906666666666666,0.055371152081298336,0.0007614146672030687,0.06183185620910552,0.0014292980670289122,0.2482793557611166,0.6080612361163371,0.07963683917920877,0.011711183717375975,0.11193672030853809,0.01965156795401671
conf_ptrue,platt_logistic,0.008119340411379058,0.511165066169651,0.16675564293035172,0.21662657692582993,0.22314666666666666,18750,750,0.20497139706128686,-0.12906666666666666,0.0759047303946202,0.0007614146672030999,0.06183185620910351,0.001429298067028922,0.24827935576111698,0.608061236116338,0.07963683917920945,0.02611103506697443,0.2495720073899689,0.0438147664959801
conf_ptrue,isotonic_relabel,0.007182722363997305,0.501373875071411,0.16321011260932,0.2159639443026694,0.22314666666666666,18750,750,0.2378646149849518,-0.12906666666666666,0.10879794831828511,0.057365274223134546,0.0890415751487195,0.0008046547602446636,0.21477445312300247,0.5418751003868547,0.096138942358044,0.3157204512434822,0.4172062983459429,0.04579611105064966
conf_ptrue,condition_oracle_logistic,0.02779464337324828,0.3544971423096911,0.10775688082189971,0.21802341127340488,0.22314666666666666,18750,750,0.0026482007063076255,-0.12906666666666666,-0.12641846596035902,0.13556755234542842,0.005145082478066877,0.8212824665446089,0.010081259905424347,0.024690024431996836,0.0032336142944745885,1.5916414602020752,-0.32888176743402286,4.79798925542758
conf_ptrue,staged_oracle_logistic,0.02449808159664733,0.3565777613084526,0.10887361945789856,0.21793933868477625,0.22314666666666666,18750,750,0.04345678856922823,-0.12906666666666666,-0.08560987809743843,0.1531622488997951,0.0015801382771454297,0.8138649904672527,0.008327273495636145,0.02039433443716195,0.002671014423008761,1.5613533898743466,-0.1682089698927669,4.408056539495352
conf_ptrue,condition_only_oracle,0.009946304359305286,0.3653588423726765,0.1129374855621144,0.21800467148170108,0.22314666666666666,18750,750,0.004173969196415906,-0.12906666666666666,-0.12489269747025075,0.1411267442685541,0.006576554914757233,0.8522967008166886,0.0,1.5080558513886593e-28,0.0,1.564609240007528,-0.35824217750823334,4.709147163001899
conf_verbalized,identity,0.5059669668266666,3.5592866187950634,0.4616675934938332,0.7263405943466666,0.22314666666666666,18750,750,0.36114865360000015,-0.12906666666666666,0.23208198693333343,0.3470324901700033,0.11422763762307715,0.0004299206937508161,0.10661816156133198,0.3180889025082023,0.11360288744363428,9.037910058857097,5.499773519192165,-0.38960341172441165
conf_verbalized,temperature_scaling,0.2928196489976966,0.6897816556206504,0.24833066423437344,0.5159663156643634,0.22314666666666666,18750,750,0.16947515584018333,-0.12906666666666666,0.040408489173516644,0.3367457140932725,0.12203676923456279,0.0003906469259853843,0.10872496386390794,0.3232046005665877,0.10889730531568383,0.24548741861799916,0.15674720760508218,-0.010240379128971671
conf_verbalized,platt_logistic,0.011305287780814088,0.4547561880236051,0.1494865857512089,0.21637368452211392,0.22314666666666666,18750,750,0.3256657236239356,-0.12906666666666666,0.1965990569572689,0.3367457140932744,0.12203676923456248,0.0003906469259853804,0.1087249638639076,0.3232046005665861,0.10889730531568398,1.6499363597072705,1.053507827676696,-0.06882623132865873
conf_verbalized,isotonic_relabel,0.009570130576197478,0.44990272348047633,0.14865021167253956,0.21648919199819538,0.22314666666666666,18750,750,0.3115759445979604,-0.12906666666666666,0.18250927793129373,0.39873125277074445,0.061631157019057824,0.00020141579743458994,0.09954649797769366,0.3078272548390627,0.13206242159600662,2.4944608716533447,1.0401907298166377,-0.0686639766635485
conf_verbalized,condition_oracle_logistic,0.011609028489083007,0.30882068311195726,0.09221346531600066,0.21633631386118263,0.22314666666666666,18750,750,0.008122284128969473,-0.12906666666666666,-0.1209443825376972,0.24710113290294297,0.001557497110788457,0.5057993615063762,0.04936246235616372,0.14673883864221926,0.049440707481509416,2.9334420329550306,-0.2470188118496382,5.140139555266451
conf_verbalized,staged_oracle_logistic,0.016518665059535788,0.31340260668871567,0.09400512109842242,0.2167937633092931,0.22314666666666666,18750,750,0.06542691996083584,-0.12906666666666666,-0.06363974670583082,0.2431686495346379,6.841957851171417e-05,0.506515105730822,0.05030849476816865,0.1495510909252168,0.05038823946264282,2.6227476852884175,-0.04666262640691659,4.636011999574371
conf_verbalized,condition_only_oracle,0.009946304359305286,0.3653588423726765,0.1129374855621144,0.21800467148170108,0.22314666666666666,18750,750,0.004173969196415906,-0.12906666666666666,-0.12489269747025075,0.1411267442685541,0.006576554914757233,0.8522967008166886,0.0,1.5080558513886593e-28,0.0,1.564609240007528,-0.35824217750823334,4.709147163001899
