model_name,condition,acc,conf,abstain_rate,delta_acc,delta_conf,FG,n_questions,confidence
/data/home/yixh/models/Qwen2.5-14B-Instruct,closed,0.1452,0.3556166055607254,0.0013333333333333333,0.0,0.0,0.0,1500,conf_ptrue
/data/home/yixh/models/Qwen2.5-14B-Instruct,irr,0.04586666666666667,0.8007274302636102,0.003066666666666667,-0.09933333333333333,0.4451108247028847,0.544444158036218,1500,conf_ptrue
/data/home/yixh/models/Qwen2.5-14B-Instruct,mis,0.017866666666666666,0.8297720455248074,0.021866666666666666,-0.12733333333333333,0.4741554399640821,0.6014887732974155,1500,conf_ptrue
/data/home/yixh/models/Qwen2.5-14B-Instruct,same_entity_irr,0.21013333333333334,0.6299546697729607,0.07106666666666667,0.06493333333333334,0.2743380642122353,0.20940473087890196,1500,conf_ptrue
/data/home/yixh/models/Qwen2.5-14B-Instruct,sup,0.6838666666666666,0.8553074568707971,0.015466666666666667,0.5386666666666666,0.4996908513100717,-0.03897581535659503,1500,conf_ptrue
/data/home/yixh/models/Qwen2.5-14B-Instruct,closed,0.1452,0.717416,0.0013333333333333333,0.0,0.0,0.0,1500,conf_verbalized
/data/home/yixh/models/Qwen2.5-14B-Instruct,irr,0.04586666666666667,0.31706666666666666,0.003066666666666667,-0.09933333333333333,-0.40034933333333333,-0.301016,1500,conf_verbalized
/data/home/yixh/models/Qwen2.5-14B-Instruct,mis,0.017866666666666666,0.9504266666666668,0.021866666666666666,-0.12733333333333333,0.23301066666666667,0.360344,1500,conf_verbalized
/data/home/yixh/models/Qwen2.5-14B-Instruct,same_entity_irr,0.21013333333333334,0.72656,0.07106666666666667,0.06493333333333334,0.009143999999999998,-0.05578933333333333,1500,conf_verbalized
/data/home/yixh/models/Qwen2.5-14B-Instruct,sup,0.6838666666666666,0.9220066666666666,0.015466666666666667,0.5386666666666666,0.20459066666666667,-0.334076,1500,conf_verbalized
/data/home/yixh/models/Qwen2.5-14B-Instruct,closed,0.1452,0.7217971260969145,0.0013333333333333333,0.0,0.0,0.0,1500,conf_seqlik
/data/home/yixh/models/Qwen2.5-14B-Instruct,irr,0.04586666666666667,0.8312743542036707,0.003066666666666667,-0.09933333333333333,0.10947722810675622,0.20881056144008955,1500,conf_seqlik
/data/home/yixh/models/Qwen2.5-14B-Instruct,mis,0.017866666666666666,0.9782099836551665,0.021866666666666666,-0.12733333333333333,0.256412857558252,0.3837461908915853,1500,conf_seqlik
/data/home/yixh/models/Qwen2.5-14B-Instruct,same_entity_irr,0.21013333333333334,0.8404608922482487,0.07106666666666667,0.06493333333333334,0.11866376615133423,0.0537304328180009,1500,conf_seqlik
/data/home/yixh/models/Qwen2.5-14B-Instruct,sup,0.6838666666666666,0.9587311953877768,0.015466666666666667,0.5386666666666666,0.23693406929086233,-0.3017325973758043,1500,conf_seqlik
