confidence,metric,point_moment,ci_low,ci_high,bootstrap_n,estimator,point_reml
conf_ptrue,rho_topicality,0.41169460264474045,0.39803331090017546,0.4263605719485361,20,question_bootstrap_moment,0.4116287141557792
conf_ptrue,rho_answer_support,0.18771763269600755,0.17427486916492382,0.19943003916051075,20,question_bootstrap_moment,0.1876875899626373
conf_ptrue,rho_veracity,0.003981554935435485,0.002410963167871571,0.005269263081645058,20,question_bootstrap_moment,0.0039809177188256
conf_ptrue,rho_P,0.10905447158981635,0.10215243941617953,0.11761793145694303,20,question_bootstrap_moment,0.0219049791303047
conf_ptrue,rho_PE,0.2615402680075766,0.2490169880421535,0.2763872355011217,20,question_bootstrap_moment,0.3422901483653326
conf_ptrue,rho_eps,0.026011470126423436,0.0237063935237507,0.02942191226709345,20,question_bootstrap_moment,0.0325076506671205
conf_verbalized,rho_topicality,0.46034636926353767,0.4337639660450789,0.47531738826648956,20,question_bootstrap_moment,0.4602809008797396
conf_verbalized,rho_answer_support,0.13882804236055343,0.13453840130148315,0.15308594087534502,20,question_bootstrap_moment,0.138808298862675
conf_verbalized,rho_veracity,0.0016845734884881156,0.0008962159039457173,0.003280270469994358,20,question_bootstrap_moment,0.0016843339160461
conf_verbalized,rho_P,0.10214704147755174,0.09785312239860897,0.11184647489646804,20,question_bootstrap_moment,0.0154969584339101
conf_verbalized,rho_PE,0.2598552129305844,0.24880498128046827,0.2746134445943334,20,question_bootstrap_moment,0.3373145971205601
conf_verbalized,rho_eps,0.03713876047928464,0.03414293091725418,0.040823659296593255,20,question_bootstrap_moment,0.0464149107870687
conf_seqlik,rho_topicality,0.18650142646640758,0.17797863423733817,0.19337809116401866,20,question_bootstrap_moment,0.1864565016980876
conf_seqlik,rho_answer_support,0.29447156871478974,0.2794574482608187,0.31222998238758687,20,question_bootstrap_moment,0.2944006359221915
conf_seqlik,rho_veracity,0.011064704679560246,0.007292428970710215,0.013255524032887895,20,question_bootstrap_moment,0.0110620393954084
conf_seqlik,rho_P,0.146615844378006,0.13781669214778533,0.15858857787900363,20,question_bootstrap_moment,0.0284730414103732
conf_seqlik,rho_PE,0.3544712768570072,0.3396441882799764,0.367070537855537,20,question_bootstrap_moment,0.4710163878051246
conf_seqlik,rho_eps,0.006875178904229288,0.006671172292981743,0.007166244191151234,20,question_bootstrap_moment,0.0085913937688145
